words,value
гомосексуальный,-0.333333333333333
гомофоб,-1
гондурас,0
гонение,-1.22222222222222
гонимый,-1.33333333333333
гонка,-0.2
гонконг,0
гонконгский,0
гонорар,0
гоняться,-0.4
гопник,-1.33333333333333
горбачев,0
горбачевский,0
гордиться,1
гордость,0.75
горелый,-1.33333333333333
горестный,-1.33333333333333
гореть,-0.666666666666667
город-герой,0.666666666666667
городской,0
горожанин,0
горячий,0.25
госбезопасность,0
госдепартамент,0
госпитализация,-0.333333333333333
госпитализировать,-0.333333333333333
госпиталь,0
господи,0
господство,1
господствовать,-0.333333333333333
госсекретарь,-0.222222222222222
госслужащий,0
гостиница,0
гостья,0.333333333333333
государственнический,-0.222222222222222
государственность,0.333333333333333
государственный,0
государство,0
государствообразующий,0
государь,0
готический,0
готовить,-0.333333333333333
готовиться,-0.222222222222222
готовый,0.333333333333333
грабитель,-1.4
грабительский,-1.77777777777778
грабить,-1.33333333333333
гражданин,0.2
гражданский,0
грамм,0
грамота,0
грамотно,0.666666666666667
грамотность,0.333333333333333
грамотный,0.666666666666667
гранатомет,-0.666666666666667
грандиозный,0
граненый,0
граница,-0.111111111111111
грациозный,1
грех,-1.33333333333333
греховный,-1.33333333333333
греция,0
греческий,0
грешный,-1.33333333333333
грибковый,-0.666666666666667
гробовой,-0.333333333333333
гродненский,0
грозненский,0
грозовой,0
громадный,-0.333333333333333
громкий,0
громкость,0
громоздкий,-1.33333333333333
гротескный,-0.333333333333333
грубоватый,-0.666666666666667
грузинский,0
грузиться,0.333333333333333
грузовик,0
группа,0
группировка,-1
группка,-1
грустно,-1.66666666666667
грустный,-1.33333333333333
грязный,-2
грязь,-1.44444444444444
гуантанамо,0
гуанчжоу,0
губернатор,0
губерния,0
губительный,-1.33333333333333
гудеть,-0.6
гулькин,-0.333333333333333
гуманистический,0.75
гуманитарий,-0.111111111111111
гуманитарный,0.444444444444444
гуманный,1.33333333333333
гэс,0
давление,-0.75
давненько,-0.333333333333333
давность,0
дагестан,-0.444444444444444
дагестанец,0
дагестанский,0
дальневосточный,0
дальнейший,0
дальний,0
дальнобойщик,0
дальность,0
дамаск,0
дамский,0.111111111111111
дарить,0.666666666666667
дармовой,-0.333333333333333
датский,0
датчанин,0
даугава,0
даугавпилс,0
движение,0
двоечник,-1.33333333333333
двойной,0
двойственный,0
дворник,-0.25
двоякий,-0.777777777777778
двусторонний,0.666666666666667
дебаты,0
деваться,-0.2
девиантный,-0.666666666666667
девичий,0
девка,-1
девяностый,-0.666666666666667
дегенерат,-1.66666666666667
дегенеративный,-1.22222222222222
деградация,-1.33333333333333
деградировать,-2
дедовщина,-1
дееспособный,-0.333333333333333
дежурство,0
дезертир,0
дезинформация,-1.33333333333333
действие,0
действительность,0.111111111111111
действительный,0
действовать,-0.166666666666667
декабрь,0
декларация,0
декларировать,0
деклассированный,-0.666666666666667
делегация,0
деликатный,0.333333333333333
делиться,0
делишки,-0.333333333333333
деловой,0
делягин,0
демарш,-0.5
демографический,0
демография,0
демократ,0
демократический,0
демократичный,0.333333333333333
демократия,0
демон,-1
демонический,-1.11111111111111
демонстрант,-0.25
демонстрация,-0.333333333333333
демонстрировать,0
демушкин,0
денежка,0
денежный,0
деньги,0
департамент,0
депозит,0
депортация,-0.6
депортировать,0
депрессивный,-1.33333333333333
депрессия,-1.33333333333333
депутатский,0
деревня,0
деревушка,0.222222222222222
дерзкий,0.666666666666667
дерипаска,0
дерьмовый,-2
десантный,0
дескать,-0.333333333333333
деспотический,-1.66666666666667
дестабилизация,-1
деструктивный,-1
десятилетие,0
десятилетний,0
десятина,-0.333333333333333
детальный,0
детдомовец,-0.333333333333333
детдомовский,0
детектив,0
детище,0
детка,0
детройт,0
детство,1
дефект,-1.33333333333333
дефицит,-1
дефицитный,-0.666666666666667
дешевизна,0.333333333333333
дешево,0
дешевый,0.333333333333333
деяние,0
деятель,-0.666666666666667
